id,first_name,last_name,full_name,country,ranking,movement,ranking_points
1239432,Jannik,Sinner,Jannik Sinner,Italy,1,,11420
1655550,Carlos,Alcaraz,Carlos Alcaraz,Spain,2,,7120
342990,Alexander,Zverev,Alexander Zverev,Germany,3,,6805
89304,Novak,Djokovic,Novak Djokovic,Serbia,4,,6210
981036,Daniil,Medvedev,Daniil Medvedev,Russia,5,,5230
816264,Taylor,Fritz,Taylor Fritz,USA,6,,4335
640542,Andrey,Rublev,Andrey Rublev,Russia,7,,4070
715500,Casper,Ruud,Casper Ruud,Norway,8,,3855
141498,Grigor,Dimitrov,Grigor Dimitrov,Bulgaria,9,,3740
1207446,Minaur,De,Minaur De,Australia,10,,3725
734208,Stefanos,Tsitsipas,Stefanos Tsitsipas,Greece,11,,3325
831288,Tommy,Paul,Tommy Paul,USA,12,,3180
1698432,Holger,Rune,Holger Rune,Denmark,13,+1,3005
219570,Kevin,Krawietz,Kevin Krawietz,,13,+605,35
953388,Hubert,Hurkacz,Hubert Hurkacz,Poland,14,-1,2810
1552506,Jack,Draper,Jack Draper,United Kingdom,15,+3,2800
1566102,Lorenzo,Musetti,Lorenzo Musetti,Italy,16,+1,2600
606618,Frances,Tiafoe,Frances Tiafoe,USA,17,-2,2585
1112340,Ugo,Humbert,Ugo Humbert,France,18,-2,2385
2312922,Ben,Shelton,Ben Shelton,USA,19,+4,2330
2031012,Arthur,Fils,Arthur Fils,France,20,,2265
540492,Karen,Khachanov,Karen Khachanov,Russia,21,+3,2225
612918,Alejandro,Tabilo,Alejandro Tabilo,Chile,22,-1,2043
1175052,Sebastian,Korda,Sebastian Korda,USA,23,-1,2010
771324,Alexei,Popyrin,Alexei Popyrin,Australia,24,+1,1775
1429812,Tomas,Machac,Tomas Machac,Czechia,25,+2,1758
1330848,Sebastian,Baez,Sebastian Baez,Argentina,26,,1690
1152090,Aliassime,Auger,Aliassime Auger,Canada,27,-8,1680
526152,Jordan,Thompson,Jordan Thompson,Australia,28,+1,1571
1326084,Francisco,Cerundolo,Francisco Cerundolo,Argentina,29,+1,1570
1528464,Jiri,Lehecka,Jiri Lehecka,Czechia,30,-2,1560
1734888,Perricard,Mpetshi,Perricard Mpetshi,France,31,+19,1519
1642092,Cobolli,Flavio,Cobolli Flavio,Italy,32,-1,1502
980892,Alexander,Bublik,Alexander Bublik,Kazakhstan,33,-1,1460
750048,Nuno,Borges,Nuno Borges,Portugal,34,-1,1446
86562,Jurgen,Melzer,Jurgen Melzer,Austria,35,+1278,3
1413468,Brandon,Nakashima,Brandon Nakashima,USA,35,+3,1375
676710,Matteo,Berrettini,Matteo Berrettini,Italy,36,+5,1370
537804,Nicolas,Jarry,Nicolas Jarry,Chile,37,-3,1365
1797240,Matteo,Arnaldi,Matteo Arnaldi,Italy,38,-1,1335
734220,Tallon,Griekspoor,Tallon Griekspoor,Netherlands,39,-4,1320
