id,first_name,last_name,full_name,country,ranking,movement,ranking_points
946536,Aryna,Sabalenka,Aryna Sabalenka,Belarus,1,,9016
296124,Ashleigh,Barty,Ashleigh Barty,Australia,1,,7980
1369644,Iga,Swiatek,Iga Swiatek,Poland,2,,7970
1589910,Cori,Gauff,Cori Gauff,USA,3,,5230
415260,Jasmine,Paolini,Jasmine Paolini,Italy,4,,5144
1117884,Elena,Rybakina,Elena Rybakina,Kazakhstan,5,,4971
269016,Jessica,Pegula,Jessica Pegula,USA,6,,4705
1546716,Qinwen,Zheng,Qinwen Zheng,China,7,,4540
1247886,Emma,Navarro,Emma Navarro,USA,8,,3593
794232,Daria,Kasatkina,Daria Kasatkina,Russia,9,,3368
351102,Danielle,Collins,Danielle Collins,USA,10,,3176
414312,Paula,Badosa,Paula Badosa,Spain,11,+1,2908
362400,Barbora,Krejcikova,Barbora Krejcikova,Czechia,12,+1,2814
1074888,Anna,Kalinskaya,Anna Kalinskaya,Russia,13,-2,2743
1911462,Diana,Shnaider,Diana Shnaider,Russia,14,,2706
386988,Jelena,Ostapenko,Jelena Ostapenko,Latvia,15,,2588
2440668,Mirra,Andreeva,Mirra Andreeva,Russia,16,,2578
358224,Maia,Haddad,Maia Haddad,Brazil,17,,2554
1380348,Marta,Kostyuk,Marta Kostyuk,Ukraine,18,,2493
303858,Donna,Vekic,Donna Vekic,Croatia,19,,2258
114114,Victoria,Azarenka,Victoria Azarenka,Belarus,20,,2126
212556,Madison,Keys,Madison Keys,USA,21,,2126
510474,Karolina,Muchova,Karolina Muchova,Czechia,22,+1,1971
427512,Magdalena,Frech,Magdalena Frech,Poland,23,-1,1890
771516,Liudmila,Samsonova,Liudmila Samsonova,Russia,24,,1885
1644306,Linda,Noskova,Linda Noskova,Czechia,25,,1878
272622,Kiki,Bertens,Kiki Bertens,Netherlands,25,-1,2701
307770,Elina,Svitolina,Elina Svitolina,Ukraine,26,,1871
406566,Ekaterina,Alexandrova,Ekaterina Alexandrova,Russia,27,,1848
273282,Yulia,Putintseva,Yulia Putintseva,Kazakhstan,28,,1844
377556,Katie,Boulter,Katie Boulter,United Kingdom,29,,1828
117288,Anastasia,Pavlyuchenkova,Anastasia Pavlyuchenkova,Russia,30,,1796
395712,Maria,Sakkari,Maria Sakkari,Greece,31,,1742
